userId,animeId,rating
1,620,5
1,964,5
1,809,3
1,915,3
1,930,3
1,821,4
1,268,3
1,272,4
1,275,4
1,341,5
1,385,4
1,446,5
1,144,5
1,1100,3
1,109,5
2,115,5
2,140,3
2,161,2
2,840,4
2,865,4
2,879,5
2,775,3
2,454,4
2,485,5
2,525,3
2,825,3
2,1251,5
2,1232,5
2,341,5
2,446,4
3,827,5
3,776,4
3,696,5
3,74,4
3,620,4
3,809,3
3,272,4
3,268,3
3,140,4
3,161,2
3,840,5
3,1251,5
3,1232,4
3,879,4
3,385,4
4,964,5
4,127,3
4,135,3
4,136,4
4,144,4
4,1100,2
4,161,1
4,879,4
4,231,5
4,454,3
4,485,5
4,525,3
4,1252,4
4,313,4
4,772,5
5,798,5
5,1127,4
5,620,5
5,964,4
5,809,3
5,915,4
5,930,3
5,272,3
5,275,2
5,341,4
5,385,4
5,446,3
5,821,4
5,144,5
5,1100,2
6,827,4
6,776,5
6,696,5
6,74,5
6,1035,4
6,1040,5
6,1041,5
6,459,4
6,485,4
6,525,4
6,825,2
6,1251,3
6,1232,4
6,144,5
6,1100,3
7,915,3
7,930,3
7,821,5
7,607,5
7,578,5
7,268,4
7,272,5
7,763,4
7,827,4
7,776,4
7,696,4
7,74,3
7,231,4
7,1035,5
7,1040,5
8,638,4
8,1100,3
8,109,3
8,115,4
8,140,4
8,161,3
8,840,5
8,865,5
8,879,3
8,775,5
8,454,4
8,485,4
8,921,4
8,763,3
8,607,4
9,879,4
9,775,2
9,454,5
9,485,5
9,525,3
9,825,4
9,1251,2
9,1232,4
9,637,4
9,578,5
9,1035,4
9,1040,4
9,1041,4
9,459,3
9,231,4
10,620,3
10,964,3
10,809,2
10,915,2
10,930,2
10,827,5
10,776,4
10,696,4
10,74,3
10,775,4
10,454,5
10,485,5
10,525,4
10,825,4
10,1251,5
11,1203,3
11,385,4
11,446,4
11,144,4
11,1100,2
11,109,4
11,115,4
11,637,4
11,578,4
11,1035,3
11,1040,3
11,1041,3
11,459,4
11,225,4
11,254,4
12,620,4
12,964,4
12,809,3
12,915,3
12,930,3
12,821,5
12,1100,2
12,109,5
12,115,3
12,140,5
12,161,2
12,752,5
12,127,4
12,135,4
12,136,5
13,144,3
13,1100,3
13,109,4
13,115,4
13,140,5
13,161,4
13,840,5
13,865,4
13,879,3
13,775,5
13,454,4
13,485,3
13,525,4
13,825,4
13,1251,3
14,752,5
14,225,4
14,254,4
14,620,5
14,964,5
14,827,5
14,776,5
14,696,5
14,74,5
14,752,5
14,1035,4
14,1040,4
14,1041,4
14,637,3
14,578,5
15,821,4
15,268,4
15,272,5
15,275,3
15,341,5
15,385,4
15,446,4
15,1035,4
15,1040,4
15,1041,4
15,459,3
15,752,5
15,225,3
15,254,3
15,161,2
16,827,4
16,776,4
16,696,4
16,74,4
16,127,3
16,135,3
16,136,5
16,231,5
16,772,4
16,798,5
16,1127,5
16,1035,4
16,1040,4
16,1041,4
16,459,2
17,231,3
17,81,4
17,115,5
17,254,5
17,275,4
17,279,3
17,302,5
